submission timestamp,customer name,customer email address,description,open/closed status,closed timestamp,paid,s_week,c_week
1/3/2016 10:48:00 AM|1:40:48 AM,Chocho Discoto,ChochoDiscoto@gmail.com,Issue with the router,Closed,1/6/2016 11:31:12 AM|8:24:00 PM,32321,1,2
1/3/2016 4:19:12 PM|8:24:00 PM,Bebcho K,BebchoK@yahoo.com,Issue with the router,Closed,1/6/2016 2:24:00 PM|12:28:48 PM,333,1,2
1/3/2016 7:12:00 PM|12:28:48 PM,Choli Poli,CholiPoli@email.com,Issue with the server,Closed,1/6/2016 7:55:12 PM|11:16:48 PM,323,1,2
1/4/2016 12:43:12 AM|11:16:48 PM,Ivan Chou,IvanChou@yahoo.com,Issue with the server,Closed,1/6/2016 10:48:00 PM|4:48:00 AM,456,2,2
1/4/2016 3:36:00 AM|4:48:00 AM,Lyudmil Petrov,LyudmilPetrov@email.com,Issue with the web page,Closed,1/7/2016 4:19:12 AM|11:31:12 PM,8756,2,2
1/4/2016 9:07:12 AM|11:31:12 PM,Take Bill,TakeBill@gmail.com,issue with transaction fee,Closed,1/7/2016 7:12:00 AM|3:36:00 PM,6565,2,2
1/4/2016 12:00:00 PM|3:36:00 PM,Zdrasti Prrasti,ZdrastiPrrasti@yahoo.com,Issue with the server,Closed,1/7/2016 12:43:12 PM|2:24:00 AM,432,2,2
1/4/2016 5:31:12 PM|2:24:00 AM,Chocho Discoto,ChochoDiscoto@email.com,Issue with the web page,Closed,1/7/2016 3:36:00 PM|7:55:12 AM,458,2,2
1/4/2016 8:24:00 PM|7:55:12 AM,Bebcho K,BebchoK@gmail.com,Issue with the router,Closed,1/7/2016 9:07:12 PM|2:38:24 AM,324,2,2
1/5/2016 1:55:12 AM|2:38:24 AM,Choli Poli,CholiPoli@yahoo.com,Issue with the server,Closed,1/8/2016|6:43:12 PM,156,2,2
1/5/2016 4:48:00 AM|6:43:12 PM,Dear Beer,DearBeer@email.com,issue with transaction fee,Open,1/8/2016 5:31:12 AM|5:31:12 AM,,2,2
1/5/2016 10:19:12 AM|5:31:12 AM,Free Money,FreeMoney@gmail.com,Issue with the server,Closed,1/8/2016 8:24:00 AM|11:02:24 AM,1233,2,2
1/5/2016 1:12:00 PM|11:02:24 AM,John Peper,JohnPeper@yahoo.com,Issue with the web page,Closed,1/8/2016 1:55:12 PM|5:45:36 AM,32321,2,2
1/5/2016 6:43:12 PM|5:45:36 AM,Ivan Chou,IvanChou@email.com,Issue with the web page,Closed,1/8/2016 4:48:00 PM|9:50:24 PM,333,2,2
1/5/2016 9:36:00 PM|9:50:24 PM,Lyudmil Petrov,LyudmilPetrov@gmail.com,issue with transaction fee,Closed,1/8/2016 10:19:12 PM|8:38:24 AM,323,2,2
1/6/2016 3:07:12 AM|8:38:24 AM,Take Bill,TakeBill@yahoo.com,Issue with the server,Closed,1/9/2016 1:12:00 AM|2:09:36 PM,456,2,2
1/6/2016 6:00:00 AM|2:09:36 PM,Zdrasti Prrasti,ZdrastiPrrasti@email.com,Issue with the web page,Closed,1/9/2016 6:43:12 AM|8:52:48 AM,8756,2,2
1/6/2016 11:31:12 AM|8:52:48 AM,Chocho Discoto,ChochoDiscoto@gmail.com,Issue with the router,Closed,1/9/2016 9:36:00 AM|12:57:36 AM,6565,2,2
1/6/2016 2:24:00 PM|12:57:36 AM,Bebcho K,BebchoK@yahoo.com,Issue with the router,Closed,1/9/2016 3:07:12 PM|11:45:36 AM,432,2,2
1/6/2016 7:55:12 PM|11:45:36 AM,Choli Poli,CholiPoli@email.com,Issue with the server,Closed,1/9/2016 6:00:00 PM|5:16:48 PM,458,2,2
1/6/2016 10:48:00 PM|5:16:48 PM,Ivan Chou,IvanChou@yahoo.com,Issue with the server,Closed,1/9/2016 11:31:12 PM|12:00:00 PM,324,2,2
1/7/2016 4:19:12 AM|12:00:00 PM,Lyudmil Petrov,LyudmilPetrov@email.com,Issue with the web page,Closed,1/10/2016 2:24:00 AM|4:04:48 AM,156,2,2
1/7/2016 7:12:00 AM|4:04:48 AM,Take Bill,TakeBill@gmail.com,issue with transaction fee,Closed,1/10/2016 7:55:12 AM|2:52:48 PM,2121,2,2
1/7/2016 12:43:12 PM|2:52:48 PM,Zdrasti Prrasti,ZdrastiPrrasti@yahoo.com,Issue with the server,Closed,1/10/2016 10:48:00 AM|8:24:00 PM,1233,2,2
1/7/2016 3:36:00 PM|8:24:00 PM,Chocho Discoto,ChochoDiscoto@email.com,Issue with the web page,Closed,1/10/2016 4:19:12 PM|3:07:12 PM,32321,2,2
1/7/2016 9:07:12 PM|3:07:12 PM,Bebcho K,BebchoK@gmail.com,Issue with the router,Closed,1/10/2016 7:12:00 PM|7:12:00 AM,333,2,2
1/8/2016|7:12:00 AM,Choli Poli,CholiPoli@yahoo.com,Issue with the server,Closed,1/11/2016 12:43:12 AM|6:00:00 PM,323,2,3
1/8/2016 5:31:12 AM|6:00:00 PM,Dear Beer,DearBeer@email.com,issue with transaction fee,Open,1/11/2016 3:36:00 AM|11:31:12 PM,,2,3
1/8/2016 8:24:00 AM|11:31:12 PM,Free Money,FreeMoney@gmail.com,Issue with the server,Closed,1/11/2016 9:07:12 AM|6:14:24 PM,8756,2,3
1/8/2016 1:55:12 PM|6:14:24 PM,John Peper,JohnPeper@yahoo.com,Issue with the web page,Closed,1/11/2016 12:00:00 PM|10:19:12 AM,6565,2,3
1/8/2016 4:48:00 PM|10:19:12 AM,Ivan Chou,IvanChou@email.com,Issue with the web page,Closed,1/11/2016 5:31:12 PM|9:07:12 PM,432,2,3
1/8/2016 10:19:12 PM|9:07:12 PM,Lyudmil Petrov,LyudmilPetrov@gmail.com,issue with transaction fee,Closed,1/11/2016 8:24:00 PM|2:38:24 AM,458,2,3
1/9/2016 1:12:00 AM|2:38:24 AM,Take Bill,TakeBill@yahoo.com,Issue with the server,Closed,1/12/2016 1:55:12 AM|9:21:36 PM,324,2,3
1/9/2016 6:43:12 AM|9:21:36 PM,Zdrasti Prrasti,ZdrastiPrrasti@email.com,Issue with the web page,Closed,1/12/2016 4:48:00 AM|1:26:24 PM,156,2,3
1/9/2016 9:36:00 AM|1:26:24 PM,Chocho Discoto,ChochoDiscoto@gmail.com,Issue with the router,Closed,1/12/2016 10:19:12 AM|12:14:24 AM,2121,2,3
1/9/2016 3:07:12 PM|12:14:24 AM,Bebcho K,BebchoK@yahoo.com,Issue with the router,Closed,1/12/2016 1:12:00 PM|5:45:36 AM,1233,2,3
1/9/2016 6:00:00 PM|5:45:36 AM,Choli Poli,CholiPoli@email.com,Issue with the server,Closed,1/12/2016 6:43:12 PM|12:28:48 AM,32321,2,3
1/9/2016 11:31:12 PM|12:28:48 AM,Ivan Chou,IvanChou@yahoo.com,Issue with the server,Closed,1/12/2016 9:36:00 PM|4:33:36 PM,333,2,3
1/10/2016 2:24:00 AM|4:33:36 PM,Lyudmil Petrov,LyudmilPetrov@email.com,Issue with the web page,Closed,1/13/2016 3:07:12 AM|3:21:36 AM,323,2,3
1/10/2016 7:55:12 AM|3:21:36 AM,Take Bill,TakeBill@gmail.com,issue with transaction fee,Closed,1/13/2016 6:00:00 AM|8:52:48 AM,456,2,3
1/10/2016 10:48:00 AM|8:52:48 AM,Zdrasti Prrasti,ZdrastiPrrasti@yahoo.com,Issue with the server,Closed,1/13/2016 11:31:12 AM|3:36:00 AM,8756,2,3
1/10/2016 4:19:12 PM|3:36:00 AM,Chocho Discoto,ChochoDiscoto@email.com,Issue with the web page,Closed,1/13/2016 2:24:00 PM|7:40:48 PM,6565,2,3
1/10/2016 7:12:00 PM|7:40:48 PM,Bebcho K,BebchoK@gmail.com,Issue with the router,Closed,1/13/2016 7:55:12 PM|6:28:48 AM,432,2,3
1/11/2016 12:43:12 AM|6:28:48 AM,Choli Poli,CholiPoli@yahoo.com,Issue with the server,Closed,1/13/2016 10:48:00 PM|12:00:00 PM,458,3,3
1/11/2016 3:36:00 AM|12:00:00 PM,Dear Beer,DearBeer@email.com,issue with transaction fee,Open,1/14/2016 4:19:12 AM|6:43:12 AM,,3,3
1/11/2016 9:07:12 AM|6:43:12 AM,Free Money,FreeMoney@gmail.com,Issue with the server,Closed,1/14/2016 7:12:00 AM|10:48:00 PM,156,3,3
1/11/2016 12:00:00 PM|10:48:00 PM,John Peper,JohnPeper@yahoo.com,Issue with the web page,Closed,1/14/2016 12:43:12 PM|9:36:00 AM,2121,3,3
1/11/2016 5:31:12 PM|9:36:00 AM,Ivan Chou,IvanChou@email.com,Issue with the web page,Closed,1/14/2016 3:36:00 PM|3:07:12 PM,1233,3,3
1/11/2016 8:24:00 PM|3:07:12 PM,Lyudmil Petrov,LyudmilPetrov@gmail.com,issue with transaction fee,Closed,1/14/2016 9:07:12 PM|9:50:24 AM,32321,3,3
1/12/2016 1:55:12 AM|9:50:24 AM,Take Bill,TakeBill@yahoo.com,Issue with the server,Closed,1/15/2016|1:55:12 AM,333,3,3
1/12/2016 4:48:00 AM|1:55:12 AM,Zdrasti Prrasti,ZdrastiPrrasti@email.com,Issue with the web page,Closed,1/15/2016 5:31:12 AM|12:43:12 PM,323,3,3
1/12/2016 10:19:12 AM|12:43:12 PM,Chocho Discoto,ChochoDiscoto@gmail.com,Issue with the router,Closed,1/15/2016 8:24:00 AM|6:14:24 PM,456,3,3
1/12/2016 1:12:00 PM|6:14:24 PM,Bebcho K,BebchoK@yahoo.com,Issue with the router,Closed,1/15/2016 1:55:12 PM|12:57:36 PM,8756,3,3
1/12/2016 6:43:12 PM|12:57:36 PM,Choli Poli,CholiPoli@email.com,Issue with the server,Closed,1/15/2016 4:48:00 PM|5:02:24 AM,6565,3,3
1/12/2016 9:36:00 PM|5:02:24 AM,Ivan Chou,IvanChou@yahoo.com,Issue with the server,Closed,1/15/2016 10:19:12 PM|3:50:24 PM,432,3,3
1/13/2016 3:07:12 AM|3:50:24 PM,Lyudmil Petrov,LyudmilPetrov@email.com,Issue with the web page,Closed,1/16/2016 1:12:00 AM|9:21:36 PM,458,3,3
1/13/2016 6:00:00 AM|9:21:36 PM,Take Bill,TakeBill@gmail.com,issue with transaction fee,Closed,1/16/2016 6:43:12 AM|4:04:48 PM,324,3,3
1/13/2016 11:31:12 AM|4:04:48 PM,Zdrasti Prrasti,ZdrastiPrrasti@yahoo.com,Issue with the server,Closed,1/16/2016 9:36:00 AM|8:09:36 AM,156,3,3
1/13/2016 2:24:00 PM|8:09:36 AM,Chocho Discoto,ChochoDiscoto@email.com,Issue with the web page,Closed,1/16/2016 3:07:12 PM|6:57:36 PM,2121,3,3
1/13/2016 7:55:12 PM|6:57:36 PM,Bebcho K,BebchoK@gmail.com,Issue with the router,Closed,1/16/2016 6:00:00 PM|12:28:48 AM,1233,3,3
1/13/2016 10:48:00 PM|12:28:48 AM,Choli Poli,CholiPoli@yahoo.com,Issue with the server,Closed,1/16/2016 11:31:12 PM|7:12:00 PM,32321,3,3
1/14/2016 4:19:12 AM|7:12:00 PM,Dear Beer,DearBeer@email.com,issue with transaction fee,Open,1/17/2016 2:24:00 AM|11:16:48 AM,,3,3
1/14/2016 7:12:00 AM|11:16:48 AM,Free Money,FreeMoney@gmail.com,Issue with the server,Closed,1/17/2016 7:55:12 AM|10:04:48 PM,323,3,3
1/14/2016 12:43:12 PM|10:04:48 PM,John Peper,JohnPeper@yahoo.com,Issue with the web page,Closed,1/17/2016 10:48:00 AM|3:36:00 AM,456,3,3
1/14/2016 3:36:00 PM|3:36:00 AM,Ivan Chou,IvanChou@email.com,Issue with the web page,Closed,1/17/2016 4:19:12 PM|10:19:12 PM,8756,3,3
1/14/2016 9:07:12 PM|10:19:12 PM,Lyudmil Petrov,LyudmilPetrov@gmail.com,issue with transaction fee,Closed,1/17/2016 7:12:00 PM|2:24:00 PM,6565,3,3
1/15/2016|2:24:00 PM,Take Bill,TakeBill@yahoo.com,Issue with the server,Closed,1/18/2016 12:43:12 AM|1:12:00 AM,432,3,4
1/15/2016 5:31:12 AM|1:12:00 AM,Zdrasti Prrasti,ZdrastiPrrasti@email.com,Issue with the web page,Closed,1/18/2016 3:36:00 AM|6:43:12 AM,458,3,4
1/15/2016 8:24:00 AM|6:43:12 AM,Chocho Discoto,ChochoDiscoto@gmail.com,Issue with the router,Closed,1/18/2016 9:07:12 AM|1:26:24 AM,324,3,4
1/15/2016 1:55:12 PM|1:26:24 AM,Bebcho K,BebchoK@yahoo.com,Issue with the router,Closed,1/18/2016 12:00:00 PM|5:31:12 PM,156,3,4
1/15/2016 4:48:00 PM|5:31:12 PM,Choli Poli,CholiPoli@email.com,Issue with the server,Closed,1/18/2016 5:31:12 PM|4:19:12 AM,2121,3,4
1/15/2016 10:19:12 PM|4:19:12 AM,Ivan Chou,IvanChou@yahoo.com,Issue with the server,Closed,1/18/2016 8:24:00 PM|9:50:24 AM,1233,3,4
1/16/2016 1:12:00 AM|9:50:24 AM,Lyudmil Petrov,LyudmilPetrov@email.com,Issue with the web page,Closed,1/19/2016 1:55:12 AM|4:33:36 AM,32321,3,4
1/16/2016 6:43:12 AM|4:33:36 AM,Take Bill,TakeBill@gmail.com,issue with transaction fee,Closed,1/19/2016 4:48:00 AM|8:38:24 PM,333,3,4
1/16/2016 9:36:00 AM|8:38:24 PM,Zdrasti Prrasti,ZdrastiPrrasti@yahoo.com,Issue with the server,Closed,1/19/2016 10:19:12 AM|7:26:24 AM,323,3,4
1/16/2016 3:07:12 PM|7:26:24 AM,Chocho Discoto,ChochoDiscoto@email.com,Issue with the web page,Closed,1/19/2016 1:12:00 PM|12:57:36 PM,456,3,4
1/16/2016 6:00:00 PM|12:57:36 PM,Bebcho K,BebchoK@gmail.com,Issue with the router,Closed,1/19/2016 6:43:12 PM|7:40:48 AM,8756,3,4
1/16/2016 11:31:12 PM|7:40:48 AM,Choli Poli,CholiPoli@yahoo.com,Issue with the server,Closed,1/19/2016 9:36:00 PM|11:45:36 PM,6565,3,4
1/17/2016 2:24:00 AM|11:45:36 PM,Dear Beer,DearBeer@email.com,issue with transaction fee,Open,1/20/2016 3:07:12 AM|10:33:36 AM,,3,4
1/17/2016 7:55:12 AM|10:33:36 AM,Free Money,FreeMoney@gmail.com,Issue with the server,Closed,1/20/2016 6:00:00 AM|4:04:48 PM,458,3,4
1/17/2016 10:48:00 AM|4:04:48 PM,John Peper,JohnPeper@yahoo.com,Issue with the web page,Closed,1/20/2016 11:31:12 AM|10:48:00 AM,324,3,4
1/17/2016 4:19:12 PM|10:48:00 AM,Ivan Chou,IvanChou@email.com,Issue with the web page,Closed,1/20/2016 2:24:00 PM|2:52:48 AM,156,3,4
1/17/2016 7:12:00 PM|2:52:48 AM,Lyudmil Petrov,LyudmilPetrov@gmail.com,issue with transaction fee,Closed,1/20/2016 7:55:12 PM|1:40:48 PM,2121,3,4
1/18/2016 12:43:12 AM|1:40:48 PM,Take Bill,TakeBill@yahoo.com,Issue with the server,Closed,1/20/2016 10:48:00 PM|7:12:00 PM,1233,4,4
1/18/2016 3:36:00 AM|7:12:00 PM,Zdrasti Prrasti,ZdrastiPrrasti@email.com,Issue with the web page,Closed,1/21/2016 4:19:12 AM|1:55:12 PM,32321,4,4
1/18/2016 9:07:12 AM|1:55:12 PM,Chocho Discoto,ChochoDiscoto@gmail.com,Issue with the router,Closed,1/21/2016 7:12:00 AM|6:00:00 AM,333,4,4
1/18/2016 12:00:00 PM|6:00:00 AM,Bebcho K,BebchoK@yahoo.com,Issue with the router,Closed,1/21/2016 12:43:12 PM|4:48:00 PM,323,4,4
1/18/2016 5:31:12 PM|4:48:00 PM,Choli Poli,CholiPoli@email.com,Issue with the server,Closed,1/21/2016 3:36:00 PM|10:19:12 PM,456,4,4
1/18/2016 8:24:00 PM|10:19:12 PM,Ivan Chou,IvanChou@yahoo.com,Issue with the server,Closed,1/21/2016 9:07:12 PM|5:02:24 PM,8756,4,4
1/19/2016 1:55:12 AM|5:02:24 PM,Lyudmil Petrov,LyudmilPetrov@email.com,Issue with the web page,Closed,1/22/2016|9:07:12 AM,6565,4,4
1/19/2016 4:48:00 AM|9:07:12 AM,Take Bill,TakeBill@gmail.com,issue with transaction fee,Closed,1/22/2016 5:31:12 AM|7:55:12 PM,432,4,4
1/19/2016 10:19:12 AM|7:55:12 PM,Zdrasti Prrasti,ZdrastiPrrasti@yahoo.com,Issue with the server,Closed,1/22/2016 8:24:00 AM|1:26:24 AM,458,4,4
1/19/2016 1:12:00 PM|1:26:24 AM,Chocho Discoto,ChochoDiscoto@email.com,Issue with the web page,Closed,1/22/2016 1:55:12 PM|8:09:36 PM,324,4,4
1/19/2016 6:43:12 PM|8:09:36 PM,Bebcho K,BebchoK@gmail.com,Issue with the router,Closed,1/22/2016 4:48:00 PM|12:14:24 PM,156,4,4
1/19/2016 9:36:00 PM|12:14:24 PM,Choli Poli,CholiPoli@yahoo.com,Issue with the server,Closed,1/22/2016 10:19:12 PM|11:02:24 PM,2121,4,4
1/20/2016 3:07:12 AM|11:02:24 PM,Dear Beer,DearBeer@email.com,issue with transaction fee,Open,1/23/2016 1:12:00 AM|4:33:36 AM,,4,4
1/20/2016 6:00:00 AM|4:33:36 AM,Free Money,FreeMoney@gmail.com,Issue with the server,Closed,1/23/2016 6:43:12 AM|11:16:48 PM,32321,4,4
1/20/2016 11:31:12 AM|11:16:48 PM,John Peper,JohnPeper@yahoo.com,Issue with the web page,Closed,1/23/2016 9:36:00 AM|3:21:36 PM,333,4,4
1/20/2016 2:24:00 PM|3:21:36 PM,Ivan Chou,IvanChou@email.com,Issue with the web page,Closed,1/23/2016 3:07:12 PM|2:09:36 AM,323,4,4
1/20/2016 7:55:12 PM|2:09:36 AM,Lyudmil Petrov,LyudmilPetrov@gmail.com,issue with transaction fee,Closed,1/23/2016 6:00:00 PM|7:40:48 AM,456,4,4
1/20/2016 10:48:00 PM|7:40:48 AM,Take Bill,TakeBill@yahoo.com,Issue with the server,Closed,1/23/2016 11:31:12 PM|2:24:00 AM,8756,4,4
1/21/2016 4:19:12 AM|2:24:00 AM,Zdrasti Prrasti,ZdrastiPrrasti@email.com,Issue with the web page,Closed,1/24/2016 2:24:00 AM|6:28:48 PM,6565,4,4
1/21/2016 7:12:00 AM|6:28:48 PM,Chocho Discoto,ChochoDiscoto@gmail.com,Issue with the router,Closed,1/24/2016 7:55:12 AM|5:16:48 AM,432,4,4
1/21/2016 12:43:12 PM|5:16:48 AM,Bebcho K,BebchoK@yahoo.com,Issue with the router,Closed,1/24/2016 10:48:00 AM|10:48:00 AM,458,4,4
1/21/2016 3:36:00 PM|10:48:00 AM,Choli Poli,CholiPoli@email.com,Issue with the server,Closed,1/24/2016 4:19:12 PM|5:31:12 AM,324,4,4
1/21/2016 9:07:12 PM|5:31:12 AM,Ivan Chou,IvanChou@yahoo.com,Issue with the server,Closed,1/24/2016 7:12:00 PM|9:36:00 PM,156,4,4
1/22/2016|9:36:00 PM,Lyudmil Petrov,LyudmilPetrov@email.com,Issue with the web page,Closed,1/25/2016 12:43:12 AM|8:24:00 AM,2121,4,5
1/22/2016 5:31:12 AM|8:24:00 AM,Take Bill,TakeBill@gmail.com,issue with transaction fee,Closed,1/25/2016 3:36:00 AM|1:55:12 PM,1233,4,5
1/22/2016 8:24:00 AM|1:55:12 PM,Zdrasti Prrasti,ZdrastiPrrasti@yahoo.com,Issue with the server,Closed,1/25/2016 9:07:12 AM|8:38:24 AM,32321,4,5
1/22/2016 1:55:12 PM|8:38:24 AM,Chocho Discoto,ChochoDiscoto@email.com,Issue with the web page,Closed,1/25/2016 12:00:00 PM|12:43:12 AM,333,4,5
1/22/2016 4:48:00 PM|12:43:12 AM,Bebcho K,BebchoK@gmail.com,Issue with the router,Closed,1/25/2016 5:31:12 PM|11:31:12 AM,323,4,5
1/22/2016 10:19:12 PM|11:31:12 AM,Choli Poli,CholiPoli@yahoo.com,Issue with the server,Closed,1/25/2016 8:24:00 PM|5:02:24 PM,456,4,5
1/23/2016 1:12:00 AM|5:02:24 PM,Dear Beer,DearBeer@email.com,issue with transaction fee,Open,1/26/2016 1:55:12 AM|11:45:36 AM,,4,5
1/23/2016 6:43:12 AM|11:45:36 AM,Free Money,FreeMoney@gmail.com,Issue with the server,Closed,1/26/2016 4:48:00 AM|3:50:24 AM,6565,4,5
1/23/2016 9:36:00 AM|3:50:24 AM,John Peper,JohnPeper@yahoo.com,Issue with the web page,Closed,1/26/2016 10:19:12 AM|2:38:24 PM,432,4,5
1/23/2016 3:07:12 PM|2:38:24 PM,Ivan Chou,IvanChou@email.com,Issue with the web page,Closed,1/26/2016 1:12:00 PM|8:09:36 PM,458,4,5
1/23/2016 6:00:00 PM|8:09:36 PM,Lyudmil Petrov,LyudmilPetrov@gmail.com,issue with transaction fee,Closed,1/26/2016 6:43:12 PM|2:52:48 PM,324,4,5
1/23/2016 11:31:12 PM|2:52:48 PM,Take Bill,TakeBill@yahoo.com,Issue with the server,Closed,1/26/2016 9:36:00 PM|6:57:36 AM,156,4,5
1/24/2016 2:24:00 AM|6:57:36 AM,Zdrasti Prrasti,ZdrastiPrrasti@email.com,Issue with the web page,Closed,1/27/2016 3:07:12 AM|5:45:36 PM,2121,4,5
1/24/2016 7:55:12 AM|5:45:36 PM,Chocho Discoto,ChochoDiscoto@gmail.com,Issue with the router,Closed,1/27/2016 6:00:00 AM|11:16:48 PM,1233,4,5
1/24/2016 10:48:00 AM|11:16:48 PM,Bebcho K,BebchoK@yahoo.com,Issue with the router,Closed,1/27/2016 11:31:12 AM|6:00:00 PM,32321,4,5
1/24/2016 4:19:12 PM|6:00:00 PM,Choli Poli,CholiPoli@email.com,Issue with the server,Closed,1/27/2016 2:24:00 PM|10:04:48 AM,333,4,5
1/24/2016 7:12:00 PM|10:04:48 AM,Ivan Chou,IvanChou@yahoo.com,Issue with the server,Closed,1/27/2016 7:55:12 PM|8:52:48 PM,323,4,5
1/25/2016 12:43:12 AM|8:52:48 PM,Lyudmil Petrov,LyudmilPetrov@email.com,Issue with the web page,Closed,1/27/2016 10:48:00 PM|2:24:00 AM,456,5,5
1/25/2016 3:36:00 AM|2:24:00 AM,Take Bill,TakeBill@gmail.com,issue with transaction fee,Closed,1/28/2016 4:19:12 AM|9:07:12 PM,8756,5,5
1/25/2016 9:07:12 AM|9:07:12 PM,Zdrasti Prrasti,ZdrastiPrrasti@yahoo.com,Issue with the server,Closed,1/28/2016 7:12:00 AM|1:12:00 PM,6565,5,5
1/25/2016 12:00:00 PM|1:12:00 PM,Chocho Discoto,ChochoDiscoto@email.com,Issue with the web page,Closed,1/28/2016 12:43:12 PM|12:00:00 AM,432,5,5
1/25/2016 5:31:12 PM|12:00:00 AM,Bebcho K,BebchoK@gmail.com,Issue with the router,Closed,1/28/2016 3:36:00 PM|5:31:12 AM,458,5,5
1/25/2016 8:24:00 PM|5:31:12 AM,Choli Poli,CholiPoli@yahoo.com,Issue with the server,Closed,1/28/2016 9:07:12 PM|12:14:24 AM,324,5,5
1/26/2016 1:55:12 AM|12:14:24 AM,Dear Beer,DearBeer@email.com,issue with transaction fee,Open,1/29/2016|4:19:12 PM,,5,5
1/26/2016 4:48:00 AM|4:19:12 PM,Free Money,FreeMoney@gmail.com,Issue with the server,Closed,1/29/2016 5:31:12 AM|3:07:12 AM,2121,5,5
1/26/2016 10:19:12 AM|3:07:12 AM,John Peper,JohnPeper@yahoo.com,Issue with the web page,Closed,1/29/2016 8:24:00 AM|8:38:24 AM,1233,5,5
1/26/2016 1:12:00 PM|8:38:24 AM,Ivan Chou,IvanChou@email.com,Issue with the web page,Closed,1/29/2016 1:55:12 PM|3:21:36 AM,32321,5,5
1/26/2016 6:43:12 PM|3:21:36 AM,Lyudmil Petrov,LyudmilPetrov@gmail.com,issue with transaction fee,Closed,1/29/2016 4:48:00 PM|7:26:24 PM,333,5,5
1/26/2016 9:36:00 PM|7:26:24 PM,Take Bill,TakeBill@yahoo.com,Issue with the server,Closed,1/29/2016 10:19:12 PM|6:14:24 AM,323,5,5
1/27/2016 3:07:12 AM|6:14:24 AM,Zdrasti Prrasti,ZdrastiPrrasti@email.com,Issue with the web page,Closed,1/30/2016 1:12:00 AM|11:45:36 AM,456,5,5
1/27/2016 6:00:00 AM|11:45:36 AM,Chocho Discoto,ChochoDiscoto@gmail.com,Issue with the router,Closed,1/30/2016 6:43:12 AM|6:28:48 AM,8756,5,5
1/27/2016 11:31:12 AM|6:28:48 AM,Bebcho K,BebchoK@yahoo.com,Issue with the router,Closed,1/30/2016 9:36:00 AM|10:33:36 PM,6565,5,5
1/27/2016 2:24:00 PM|10:33:36 PM,Choli Poli,CholiPoli@email.com,Issue with the server,Closed,1/30/2016 3:07:12 PM|9:21:36 AM,432,5,5
1/27/2016 7:55:12 PM|9:21:36 AM,Ivan Chou,IvanChou@yahoo.com,Issue with the server,Closed,1/30/2016 6:00:00 PM|2:52:48 PM,458,5,5
1/27/2016 10:48:00 PM|2:52:48 PM,Lyudmil Petrov,LyudmilPetrov@email.com,Issue with the web page,Closed,1/30/2016 11:31:12 PM|9:36:00 AM,324,5,5
1/28/2016 4:19:12 AM|9:36:00 AM,Take Bill,TakeBill@gmail.com,issue with transaction fee,Closed,1/31/2016 2:24:00 AM|1:40:48 AM,156,5,5
